"distid","year","DISTRICT_NAME","SCHOOL_YEAR","FULL_NCES_CODE","COUNTY","electiontype","candidateid","first","last","winner","incumbent","minor","raceid","areaid","districtwide","notes","candidateid2","raceid2","incDefeat","repeater","ncand","nrealcand","nwins","ninc","nincDef","nminor","scatterVotes","nincDefInd","candidate_votes","total_votes","CESA"
14,2006,"Adams-Friendship Area Sch Dist","2005-06","5500060","1",1,6,"Sherry","Baumgart",1,1,0,"5","5",1,"","14-6","14-2006-5-1",0,1,4,4,3,1,0,0,0,0,728,2852,"5"
14,2006,"Adams-Friendship Area Sch Dist","2005-06","5500060","1",1,12,"Brenda","Rhinehart",1,0,0,"5","5",1,"","14-12","14-2006-5-1",NA,0,4,4,3,1,0,0,0,0,715,2852,"5"
14,2007,"Adams-Friendship Area Sch Dist","2006-07","5500060","1",1,10,"Carole","Janssen",1,1,0,"6","6",1,"","14-10","14-2007-6-1",0,1,6,6,3,3,0,2,0,0,1267,4539,"5"
14,2007,"Adams-Friendship Area Sch Dist","2006-07","5500060","1",1,9,"Gary","Olson",1,1,0,"6","6",1,"","14-9","14-2007-6-1",0,1,6,6,3,3,0,2,0,0,1134,4539,"5"
14,2007,"Adams-Friendship Area Sch Dist","2006-07","5500060","1",1,8,"Peter","Hickethier",1,1,0,"6","6",1,"","14-8","14-2007-6-1",0,1,6,6,3,3,0,2,0,0,1104,4539,"5"
14,2007,"Adams-Friendship Area Sch Dist","2006-07","5500060","1",1,14,"Ronald","Boettcher",0,0,0,"6","6",1,"","14-14","14-2007-6-1",NA,1,6,6,3,3,0,2,0,0,1028,4539,"5"
14,2007,"Adams-Friendship Area Sch Dist","2006-07","5500060","1",1,15,"Carole","Tolley",0,0,1,"6","6",1,"","14-15","14-2007-6-1",NA,0,6,6,3,3,0,2,0,0,3,4539,"5"
14,2007,"Adams-Friendship Area Sch Dist","2006-07","5500060","1",1,16,"John","Maybee",0,0,1,"6","6",1,"","14-16","14-2007-6-1",NA,0,6,6,3,3,0,2,0,0,3,4539,"5"
14,2008,"Adams-Friendship Area Sch Dist","2007-08","5500060","1",1,11,"James","Bays",1,1,0,"7","7",1,"","14-11","14-2008-7-1",0,1,4,4,3,3,1,0,10,1,1041,3035,"5"
14,2008,"Adams-Friendship Area Sch Dist","2007-08","5500060","1",1,2,"Richard","Pease",1,1,0,"7","7",1,"","14-2","14-2008-7-1",0,1,4,4,3,3,1,0,10,1,1014,3035,"5"
14,2008,"Adams-Friendship Area Sch Dist","2007-08","5500060","1",1,14,"Ronald","Boettcher",1,0,0,"7","7",1,"","14-14","14-2008-7-1",NA,1,4,4,3,3,1,0,10,1,968,3035,"5"
14,2008,"Adams-Friendship Area Sch Dist","2007-08","5500060","1",1,3,"Janet","Boddy",0,1,0,"7","7",1,"","14-3","14-2008-7-1",1,1,4,4,3,3,1,0,10,1,2,3035,"5"
14,2008,"Adams-Friendship Area Sch Dist","2007-08","5500060","1",1,99,"Scatter","Scatter",0,0,1,"7","7",1,"","14-99","14-2008-7-1",NA,0,4,4,3,3,1,0,10,1,10,3035,"5"
14,2009,"Adams-Friendship Area Sch Dist","2008-09","5500060","1",1,13,"Julie","Roseberry",1,1,0,"8","8",1,"","14-13","14-2009-8-1",0,1,3,3,3,3,0,0,0,0,1280,3709,"5"
14,2009,"Adams-Friendship Area Sch Dist","2008-09","5500060","1",1,12,"Brenda","Rhinehart",1,1,0,"8","8",1,"","14-12","14-2009-8-1",0,1,3,3,3,3,0,0,0,0,1192,3709,"5"
14,2009,"Adams-Friendship Area Sch Dist","2008-09","5500060","1",1,6,"Sherry","Baumgart",1,1,0,"8","8",1,"","14-6","14-2009-8-1",0,1,3,3,3,3,0,0,0,0,1237,3709,"5"
14,2010,"Adams-Friendship Area Sch Dist","2009-10","5500060","1",1,10,"Carole","Janssen",1,1,0,"9","9",1,"","14-10","14-2010-9-1",0,1,4,4,3,3,1,0,0,1,702,2393,"5"
14,2010,"Adams-Friendship Area Sch Dist","2009-10","5500060","1",1,8,"Peter","Hickethier",1,1,0,"9","9",1,"","14-8","14-2010-9-1",0,1,4,4,3,3,1,0,0,1,649,2393,"5"
14,2010,"Adams-Friendship Area Sch Dist","2009-10","5500060","1",1,9,"Gary","Olson",0,1,0,"9","9",1,"","14-9","14-2010-9-1",1,1,4,4,3,3,1,0,0,1,497,2393,"5"
14,2010,"Adams-Friendship Area Sch Dist","2009-10","5500060","1",1,17,"Randy","Billington",1,0,0,"9","9",1,"","14-17","14-2010-9-1",NA,0,4,4,3,3,1,0,0,1,545,2393,"5"
14,2011,"Adams-Friendship Area Sch Dist","2010-11","5500060","1",1,14,"Ronald","Boettcher",1,1,0,"10","10",1,"","14-14","14-2011-10-1",0,1,3,3,3,3,0,0,113,0,1764,5625,"5"
14,2011,"Adams-Friendship Area Sch Dist","2010-11","5500060","1",1,11,"James","Bays",1,1,0,"10","10",1,"","14-11","14-2011-10-1",0,1,3,3,3,3,0,0,113,0,1944,5625,"5"
14,2011,"Adams-Friendship Area Sch Dist","2010-11","5500060","1",1,2,"Richard","Pease",1,1,0,"10","10",1,"","14-2","14-2011-10-1",0,1,3,3,3,3,0,0,113,0,1804,5625,"5"
14,2011,"Adams-Friendship Area Sch Dist","2010-11","5500060","1",1,99,"Scatter","Scatter",0,0,1,"10","10",1,"","14-99","14-2011-10-1",NA,0,3,3,3,3,0,0,113,0,113,5625,"5"
14,2012,"Adams-Friendship Area Sch Dist","2011-12","5500060","1",1,18,"Pat","Pare",1,0,0,"11","11",1,"","14-18","14-2012-11-1",NA,0,4,4,3,2,0,0,41,0,505,3576,"5"
14,2012,"Adams-Friendship Area Sch Dist","2011-12","5500060","1",1,13,"Julie","Roseberry",1,1,0,"11","11",1,"","14-13","14-2012-11-1",0,1,4,4,3,2,0,0,41,0,1475,3576,"5"
14,2012,"Adams-Friendship Area Sch Dist","2011-12","5500060","1",1,12,"Brenda","Rhinehart",1,1,0,"11","11",1,"","14-12","14-2012-11-1",0,1,4,4,3,2,0,0,41,0,1406,3576,"5"
14,2012,"Adams-Friendship Area Sch Dist","2011-12","5500060","1",1,19,"Carla","Byrnes",0,0,0,"11","11",1,"","14-19","14-2012-11-1",NA,0,4,4,3,2,0,0,41,0,149,3576,"5"
14,2012,"Adams-Friendship Area Sch Dist","2011-12","5500060","1",1,99,"Scatter","Scatter",0,0,1,"11","11",1,"","14-99","14-2012-11-1",NA,0,4,4,3,2,0,0,41,0,41,3576,"5"
63,2003,"Albany Sch Dist","2002-03","5500120","23",1,99,"Scatter","Scatter",0,0,1,"1","1",1,"","63-99","63-2003-1-1",NA,0,2,2,2,1,0,0,13,0,13,716,"2"
63,2003,"Albany Sch Dist","2002-03","5500120","23",1,1,"Dave","Pluss",1,0,0,"1","1",1,"","63-1","63-2003-1-1",NA,0,2,2,2,1,0,0,13,0,380,716,"2"
63,2003,"Albany Sch Dist","2002-03","5500120","23",1,2,"John","Bauman",1,1,0,"1","1",1,"","63-2","63-2003-1-1",0,1,2,2,2,1,0,0,13,0,323,716,"2"
63,2004,"Albany Sch Dist","2003-04","5500120","23",1,13,"Wilbur","McCreedy",0,0,0,"2","2",1,"","63-13","63-2004-2-1",NA,0,4,4,2,1,0,0,11,0,22,581,"2"
63,2004,"Albany Sch Dist","2003-04","5500120","23",1,11,"Dena","Bump",1,1,0,"2","2",1,"","63-11","63-2004-2-1",0,1,4,4,2,1,0,0,11,0,215,581,"2"
63,2004,"Albany Sch Dist","2003-04","5500120","23",1,12,"Fairy","Elmer",1,0,0,"2","2",1,"","63-12","63-2004-2-1",NA,0,4,4,2,1,0,0,11,0,208,581,"2"
63,2004,"Albany Sch Dist","2003-04","5500120","23",1,4,"Trent","Blumer",0,0,0,"2","2",1,"","63-4","63-2004-2-1",NA,1,4,4,2,1,0,0,11,0,125,581,"2"
63,2004,"Albany Sch Dist","2003-04","5500120","23",1,99,"Scatter","Scatter",0,0,1,"2","2",1,"","63-99","63-2004-2-1",NA,0,4,4,2,1,0,0,11,0,11,581,"2"
63,2005,"Albany Sch Dist","2004-05","5500120","23",1,99,"Scatter","Scatter",0,0,1,"3","3",1,"","63-99","63-2005-3-1",NA,0,2,2,2,0,0,0,12,0,12,914,"2"
63,2005,"Albany Sch Dist","2004-05","5500120","23",1,14,"Rebecca","Mather",1,0,0,"3","3",1,"","63-14","63-2005-3-1",NA,0,2,2,2,0,0,0,12,0,413,914,"2"
63,2005,"Albany Sch Dist","2004-05","5500120","23",1,15,"Forrest","Ross",1,0,0,"3","3",1,"","63-15","63-2005-3-1",NA,0,2,2,2,0,0,0,12,0,489,914,"2"
63,2006,"Albany Sch Dist","2005-06","5500120","23",1,99,"Scatter","Scatter",0,0,1,"4","4",1,"","63-99","63-2006-4-1",NA,0,3,3,1,2,1,0,7,1,7,541,"2"
63,2006,"Albany Sch Dist","2005-06","5500120","23",1,1,"Dave","Pluss",1,1,0,"4","4",1,"","63-1","63-2006-4-1",0,1,3,3,1,2,1,0,7,1,193,541,"2"
63,2006,"Albany Sch Dist","2005-06","5500120","23",1,2,"John","Bauman",0,1,0,"4","4",1,"","63-2","63-2006-4-1",1,1,3,3,1,2,1,0,7,1,169,541,"2"
63,2006,"Albany Sch Dist","2005-06","5500120","23",1,16,"Jeanne","Meier",0,0,0,"4","4",1,"","63-16","63-2006-4-1",NA,0,3,3,1,2,1,0,7,1,172,541,"2"
63,2007,"Albany Sch Dist","2006-07","5500120","23",1,12,"Fairy","Elmer",1,1,0,"5","5",1,"","63-12","63-2007-5-1",0,1,4,4,2,1,0,0,14,0,298,738,"2"
63,2007,"Albany Sch Dist","2006-07","5500120","23",1,17,"Hilary","Bauman",1,0,0,"5","5",1,"","63-17","63-2007-5-1",NA,0,4,4,2,1,0,0,14,0,311,738,"2"
63,2007,"Albany Sch Dist","2006-07","5500120","23",1,18,"Brian","Dahl",0,0,0,"5","5",1,"","63-18","63-2007-5-1",NA,0,4,4,2,1,0,0,14,0,83,738,"2"
63,2007,"Albany Sch Dist","2006-07","5500120","23",1,19,"Susan","Dunphy",0,0,0,"5","5",1,"","63-19","63-2007-5-1",NA,0,4,4,2,1,0,0,14,0,32,738,"2"
63,2007,"Albany Sch Dist","2006-07","5500120","23",1,99,"Scatter","Scatter",0,0,1,"5","5",1,"","63-99","63-2007-5-1",NA,0,4,4,2,1,0,0,14,0,14,738,"2"
63,2008,"Albany Sch Dist","2007-08","5500120","23",1,14,"Rebecca","Mather",1,1,0,"6","6",1,"","63-14","63-2008-6-1",0,1,2,2,2,1,0,0,0,0,268,514,"2"
63,2008,"Albany Sch Dist","2007-08","5500120","23",1,20,"Wayne","Mueller",1,0,0,"6","6",1,"","63-20","63-2008-6-1",NA,0,2,2,2,1,0,0,0,0,246,514,"2"
63,2009,"Albany Sch Dist","2008-09","5500120","23",1,1,"Dave","Pluss",1,1,0,"7","7",1,"","63-1","63-2009-7-1",0,1,2,2,2,1,0,0,14,0,681,1145,"2"
63,2009,"Albany Sch Dist","2008-09","5500120","23",1,21,"Edward","Maksym",1,0,0,"7","7",1,"","63-21","63-2009-7-1",NA,0,2,2,2,1,0,0,14,0,450,1145,"2"
63,2009,"Albany Sch Dist","2008-09","5500120","23",1,99,"Scatter","Scatter",0,0,1,"7","7",1,"","63-99","63-2009-7-1",NA,0,2,2,2,1,0,0,14,0,14,1145,"2"
63,2010,"Albany Sch Dist","2009-10","5500120","23",1,22,"Mike","Marean",1,0,0,"8","8",1,"","63-22","63-2010-8-1",NA,0,5,5,4,1,0,0,NA,0,NA,NA,"2"
63,2010,"Albany Sch Dist","2009-10","5500120","23",1,23,"Fred","Johnson",1,0,0,"8","8",1,"","63-23","63-2010-8-1",NA,0,5,5,4,1,0,0,NA,0,NA,NA,"2"
63,2010,"Albany Sch Dist","2009-10","5500120","23",1,12,"Fairy","Elmer",1,1,0,"8","8",1,"","63-12","63-2010-8-1",0,1,5,5,4,1,0,0,NA,0,NA,NA,"2"
63,2010,"Albany Sch Dist","2009-10","5500120","23",1,24,"Jason","Lindgren",1,0,0,"8","8",1,"","63-24","63-2010-8-1",NA,0,5,5,4,1,0,0,NA,0,NA,NA,"2"
63,2010,"Albany Sch Dist","2009-10","5500120","23",1,25,"Carrie","Anderson",0,0,0,"8","8",1,"","63-25","63-2010-8-1",NA,0,5,5,4,1,0,0,NA,0,NA,NA,"2"
63,2011,"Albany Sch Dist","2010-11","5500120","23",1,26,"Karen","Henry",0,0,0,"9","9",1,"","63-26","63-2011-9-1",NA,0,4,4,3,2,0,0,NA,0,NA,NA,"2"
63,2011,"Albany Sch Dist","2010-11","5500120","23",1,14,"Rebecca","Mather",1,1,0,"9","9",1,"","63-14","63-2011-9-1",0,1,4,4,3,2,0,0,NA,0,NA,NA,"2"
63,2011,"Albany Sch Dist","2010-11","5500120","23",1,20,"Wayne","Mueller",1,1,0,"9","9",1,"","63-20","63-2011-9-1",0,1,4,4,3,2,0,0,NA,0,NA,NA,"2"
63,2011,"Albany Sch Dist","2010-11","5500120","23",1,24,"Jason","Lindgren",1,0,0,"9","9",1,"","63-24","63-2011-9-1",NA,1,4,4,3,2,0,0,NA,0,NA,NA,"2"
63,2012,"Albany Sch Dist","2011-12","5500120","23",1,27,"Adam","Kopp",1,0,0,"10","10",1,"","63-27","63-2012-10-1",NA,0,3,3,2,1,1,0,0,1,246,633,"2"
63,2012,"Albany Sch Dist","2011-12","5500120","23",1,28,"Andy","Knauf",1,0,0,"10","10",1,"","63-28","63-2012-10-1",NA,0,3,3,2,1,1,0,0,1,201,633,"2"
63,2012,"Albany Sch Dist","2011-12","5500120","23",1,21,"Edward","Marksym",0,1,0,"10","10",1,"","63-21","63-2012-10-1",1,1,3,3,2,1,1,0,0,1,186,633,"2"
70,2001,"Algoma Sch Dist","2000-01","5500150","31",1,7,"","Glueckert",1,0,0,"1a","1",0,"","70-7","70-2001-1a-1",NA,0,2,2,2,0,0,0,6,0,673,1369,"7"
70,2001,"Algoma Sch Dist","2000-01","5500150","31",1,9,"","Massey",1,0,0,"1b","2",0,"","70-9","70-2001-1b-1",NA,0,1,1,1,0,0,0,2,0,758,760,"7"
70,2001,"Algoma Sch Dist","2000-01","5500150","31",1,8,"Barabara","Rodgers",1,0,0,"1a","1",0,"","70-8","70-2001-1a-1",NA,0,2,2,2,0,0,0,6,0,690,1369,"7"
70,2001,"Algoma Sch Dist","2000-01","5500150","31",1,99,"Scatter","",0,0,1,"1a","1",0,"","70-99","70-2001-1a-1",NA,0,2,2,2,0,0,0,6,0,6,1369,"7"
70,2001,"Algoma Sch Dist","2000-01","5500150","31",1,99,"Scatter","",0,0,1,"1b","2",0,"","70-99","70-2001-1b-1",NA,0,1,1,1,0,0,0,2,0,2,760,"7"
70,2003,"Algoma Sch Dist","2002-03","5500150","31",1,1,"Ralph","Elsholz",1,0,0,"2a","3",0,"","70-1","70-2003-2a-1",NA,0,4,4,2,1,1,0,3,1,631,2461,"7"
70,2003,"Algoma Sch Dist","2002-03","5500150","31",1,99,"Scatter","",0,0,1,"2a","3",0,"","70-99","70-2003-2a-1",NA,0,4,4,2,1,1,0,3,1,3,2461,"7"
70,2003,"Algoma Sch Dist","2002-03","5500150","31",1,2,"Betty","Delveaux",0,0,0,"2a","3",0,"","70-2","70-2003-2a-1",NA,0,4,4,2,1,1,0,3,1,462,2461,"7"
70,2003,"Algoma Sch Dist","2002-03","5500150","31",1,3,"Jill","Prokash",0,1,0,"2a","3",0,"","70-3","70-2003-2a-1",1,1,4,4,2,1,1,0,3,1,502,2461,"7"
70,2003,"Algoma Sch Dist","2002-03","5500150","31",1,4,"Pat","Qualman",1,0,0,"2a","3",0,"","70-4","70-2003-2a-1",NA,0,4,4,2,1,1,0,3,1,863,2461,"7"
70,2003,"Algoma Sch Dist","2002-03","5500150","31",1,6,"Pat","Robinson",1,0,0,"2b","4",0,"","70-6","70-2003-2b-1",NA,0,2,2,1,0,0,0,4,0,680,1276,"7"
70,2003,"Algoma Sch Dist","2002-03","5500150","31",1,99,"Scatter","",0,0,1,"2b","4",0,"","70-99","70-2003-2b-1",NA,0,2,2,1,0,0,0,4,0,4,1276,"7"
70,2003,"Algoma Sch Dist","2002-03","5500150","31",1,5,"Larry","Kirchman",0,0,0,"2b","4",0,"","70-5","70-2003-2b-1",NA,0,2,2,1,0,0,0,4,0,592,1276,"7"
70,2004,"Algoma Sch Dist","2003-04","5500150","31",1,8,"Barabara","Rodgers",1,1,0,"3a","5",0,"","70-8","70-2004-3a-1",0,1,2,2,2,2,0,0,33,0,506,635,"7"
70,2004,"Algoma Sch Dist","2003-04","5500150","31",1,7,"","Glueckert",1,1,0,"3a","5",0,"","70-7","70-2004-3a-1",0,1,2,2,2,2,0,0,33,0,96,635,"7"
70,2004,"Algoma Sch Dist","2003-04","5500150","31",1,99,"Scatter","",0,0,1,"3a","5",0,"","70-99","70-2004-3a-1",NA,0,2,2,2,2,0,0,33,0,33,635,"7"
70,2005,"Algoma Sch Dist","2004-05","5500150","31",1,99,"Scatter","",0,0,1,"4b","6",0,"","70-99","70-2005-4b-1",NA,0,3,3,3,2,0,0,49,0,49,914,"7"
70,2005,"Algoma Sch Dist","2004-05","5500150","31",1,10,"David","Wessel",1,1,0,"4b","6",0,"","70-10","70-2005-4b-1",0,1,3,3,3,2,0,0,49,0,298,914,"7"
70,2005,"Algoma Sch Dist","2004-05","5500150","31",1,11,"Priscilla","Swoboda",1,1,0,"4b","6",0,"","70-11","70-2005-4b-1",0,1,3,3,3,2,0,0,49,0,288,914,"7"
70,2005,"Algoma Sch Dist","2004-05","5500150","31",1,12,"Charles","Swoboda",1,0,0,"4b","6",0,"","70-12","70-2005-4b-1",NA,0,3,3,3,2,0,0,49,0,279,914,"7"
70,2006,"Algoma Sch Dist","2005-06","5500150","31",1,4,"Patricia","Qualman",1,1,0,"5a","7",0,"","70-4","70-2006-5a-1",0,1,4,4,3,1,0,0,24,0,905,2170,"7"
70,2006,"Algoma Sch Dist","2005-06","5500150","31",1,14,"Daniel","Polecheck",1,0,0,"5a","7",0,"","70-14","70-2006-5a-1",NA,0,4,4,3,1,0,0,24,0,802,2170,"7"
70,2006,"Algoma Sch Dist","2005-06","5500150","31",1,15,"Dean","Tenor",1,0,0,"5a","7",0,"","70-15","70-2006-5a-1",NA,0,4,4,3,1,0,0,24,0,267,2170,"7"
70,2006,"Algoma Sch Dist","2005-06","5500150","31",1,99,"Scatter","",0,0,1,"5a","7",0,"","70-99","70-2006-5a-1",NA,0,4,4,3,1,0,0,24,0,24,2170,"7"
70,2006,"Algoma Sch Dist","2005-06","5500150","31",1,16,"Todd","Lohenry",0,0,0,"5a","7",0,"","70-16","70-2006-5a-1",NA,0,4,4,3,1,0,0,24,0,172,2170,"7"
70,2006,"Algoma Sch Dist","2005-06","5500150","31",1,17,"Ann","Schmitz",1,0,0,"5b","8",0,"","70-17","70-2006-5b-1",NA,0,1,1,1,0,0,0,13,0,1070,1083,"7"
70,2006,"Algoma Sch Dist","2005-06","5500150","31",1,99,"Scatter","",0,0,1,"5b","8",0,"","70-99","70-2006-5b-1",NA,0,1,1,1,0,0,0,13,0,13,1083,"7"
