year,agency_key,district,agency_type,school,agency_name,contact_name,title,address_1,address_2,city,state,zip,ship_different,ship_address_1,ship_address_2,ship_city,ship_state,ship_zip,low_grade,high_grade,county,cesa,agency_master_key,parent_key,doa_code,nces_code,msa_code,locale_code,legal_name,district_name,name,update_date
2002,48382,4067,3,,Oconto Sch Dist,Sara L Croney,District Administrator,400 Michigan Ave,Oconto WI 54153-1799,Oconto,WI,54153-1799,,,,,,,E3,12,42,8,10977,48808,357,5510920,0,6,OCONTO,Oconto Sch Dist,Oconto,7/2/2002 11:07
2002,48383,4074,3,,Oconto Falls Sch Dist,David C Polashek,District Administrator,200 N Farm Rd,Oconto Falls WI 54154-1221,Oconto Falls,WI,54154-1221,,,,,,,E3,12,42,8,11009,48808,358,5510950,0,6,OCONTO FALLS,Oconto Falls Sch Dist,Oconto Falls,7/2/2002 11:08
2002,48384,4263,3,,Beecher-Dunbar-Pembine Sch Dis,Leonard Trudeau,District Administrator,PO Box 247,Pembine WI 54156-0247,Pembine,WI,54156-0247,D,N18775 Sauld St,Pembine WI 54156,Pembine,WI,54156,K4,12,38,8,11045,48808,360,5511550,0,7,BEECHER-DUNBAR-PEMBINE,Beecher-Dunbar-Pembine Sch Dis,Beecher-Dunbar-Pembine,7/2/2002 11:17
2002,48385,6230,3,,Wausaukee Sch Dist,,District Administrator,PO Box 258,Wausaukee WI 54177-0258,Wausaukee,WI,54177-0258,D,N11941 U S Highway 141,Wausaukee WI 54177,Wausaukee,WI,54177,E3,12,38,8,11258,48808,385,5515930,0,7,WAUSAUKEE,Wausaukee Sch Dist,Wausaukee,7/2/2002 12:54
2002,48386,6734,3,,Wrightstown Community Sch Dist,Reginald R Gobin,District Administrator,PO Box 128,Wrightstown WI 54180-0128,Wrightstown,WI,54180-0128,D,351 High St,Wrightstown WI 54180,Wrightstown,WI,54180,KG,12,5,7,11267,48756,386,5517190,3080,8,WRIGHTSTOWN COMMUNITY,Wrightstown Community Sch Dist,Wrightstown Community,2/4/2003 10:01
2002,48388,70,3,,Algoma Sch Dist,Mark T Smits,District Administrator,1715 Division St,Algoma WI 54201-1498,Algoma,WI,54201-1498,,,,,,,E3,12,31,7,11290,48756,301,5500150,0,6,ALGOMA,Algoma Sch Dist,Algoma,7/1/2002 11:31
2002,48389,5457,3,,Southern Door Sch Dist,Joseph Innis,District Administrator,8240 Highway 57,Brussels WI 54204,Brussels,WI,54204,,,,,,,E3,12,15,7,11314,48756,305,5514130,0,7,SOUTHERN DOOR,Southern Door Sch Dist,Southern Door,7/2/2002 12:33
2002,48390,1407,3,,Denmark Sch Dist,Leroy Meles,District Administrator,450 N Wall St,Denmark WI 54208-9416,Denmark,WI,54208-9416,,,,,,,K3,12,5,7,11346,48756,315,5503660,3080,8,DENMARK,Denmark Sch Dist,Denmark,2/4/2003 10:01
2002,48391,2114,3,,Gibraltar Area Sch Dist,Stephen Seyfer,District Administrator,3924 Highway 42,Fish Creek WI 54212,Fish Creek,WI,54212,,,,,,,E3,12,15,7,11355,48756,330,5505220,0,7,GIBRALTAR AREA,Gibraltar Area Sch Dist,Gibraltar Area,7/1/2002 15:36
2002,48392,3290,3,,Manitowoc Sch Dist,Wayne P Johnson,District Administrator,PO Box 1657,Manitowoc WI 54221-1657,Manitowoc,WI,54221-1657,D,812 North 10 St,Manitowoc WI 54220,Manitowoc,WI,54220,E3,12,36,7,11531,48756,351,5508610,0,5,MANITOWOC,Manitowoc Sch Dist,Manitowoc,7/2/2002 7:11
2002,48393,3661,3,,Mishicot Sch Dist,Tony Klaubauf,District Administrator,PO Box 280,Mishicot WI 54228-0280,Mishicot,WI,54228-0280,D,660 Washington St,Mishicot WI 54228,Mishicot,WI,54228,E3,12,36,7,11552,48756,352,5509750,0,7,MISHICOT,Mishicot Sch Dist,Mishicot,7/2/2002 10:49
2002,48394,4760,3,,Reedsville Sch Dist,David Tymus,District Administrator,PO Box 82,Reedsville WI 54230-0082,Reedsville,WI,54230-0082,D,340 Manitowoc St,Reedsville WI 54230,Reedsville,WI,54230,E3,12,36,7,11571,48756,365,5512690,0,7,REEDSVILLE,Reedsville Sch Dist,Reedsville,7/2/2002 11:37
2002,48395,182,3,,Ashwaubenon Sch Dist,James Stillman,District Administrator,1055 Griffiths Ln,Green Bay WI 54304-5599,Green Bay,WI,54304-5599,,,,,,,E3,12,5,7,12000,48756,301,5500540,3080,4,ASHWAUBENON,Ashwaubenon Sch Dist,Ashwaubenon,2/4/2003 10:01
2002,48396,2289,3,,Green Bay Area Sch Dist,Daniel Nerad,District Administrator,PO Box 23387,Green Bay WI 54305-3387,Green Bay,WI,54305-3387,D,200 S Broadway,Green Bay WI 54303,Green Bay,WI,54303,B2,12,5,7,12004,48756,330,5505820,3080,2,GREEN BAY AREA,Green Bay Area Sch Dist,Green Bay Area,7/1/2002 15:53
2002,48397,2604,3,,Howard-Suamico Sch Dist,Frederic A Stieg,District Administrator,2700 Lineville Rd,Green Bay WI 54313-7197,Green Bay,WI,54313-7197,,,,,,,E3,12,5,7,12102,48756,335,5506630,3080,4,HOWARD-SUAMICO,Howard-Suamico Sch Dist,Howard-Suamico,2/4/2003 10:01
2002,48398,7,3,,Abbotsford Sch Dist,Marcia Hochhalter,District Administrator,PO Box 70,Abbotsford WI 54405-0070,Abbotsford,WI,54405-0070,D,307 N 4th Ave,Abbotsford WI 54405-9521,Abbotsford,WI,54405-9521,E5,12,10,10,12337,48748,301,5500030,0,7,ABBOTSFORD,Abbotsford Sch Dist,Abbotsford,7/1/2002 11:28
2002,48399,126,3,,Tomorrow River Sch Dist,Joseph G Reed,District Administrator,357 N Main St,Amherst WI 54406-9102,Amherst,WI,54406-9102,,,,,,,E3,12,49,5,12359,48745,302,5500330,0,7,TOMORROW RIVER,Tomorrow River Sch Dist,Tomorrow River,7/1/2002 11:39
2002,48400,140,3,,Antigo Sch Dist,Lance Alwin,District Administrator,120 S Dorr St,Antigo WI 54409-1220,Antigo,WI,54409-1220,,,,,,,E3,12,34,9,12401,48717,301,5500360,0,6,ANTIGO,Antigo Sch Dist,Antigo,7/1/2002 11:40
2002,48401,2135,3,,Gilman Sch Dist,Drew Johnson,District Administrator,PO Box 188,Gilman WI 54433-0188,Gilman,WI,54433-0188,D,325 North 5th Ave,Gilman WI 54433,Gilman,WI,54433,E4,12,60,10,12603,48748,330,5505280,0,7,GILMAN,Gilman Sch Dist,Gilman,7/1/2002 15:38
2002,48402,2226,3,,Granton Area Sch Dist,,District Administrator,217 N Main St,Granton WI 54436-7835,Granton,WI,54436-7835,,,,,,,K4,12,10,10,12623,48748,330,5505640,0,7,GRANTON AREA,Granton Area Sch Dist,Granton Area,7/1/2002 15:51
2002,48403,2394,3,,Greenwood Sch Dist,Michael Beighley,District Administrator,306 West Central Ave,Greenwood WI 54437,Greenwood,WI,54437,,,,,,,E3,12,10,10,12643,48748,331,5505970,0,7,GREENWOOD,Greenwood Sch Dist,Greenwood,7/1/2002 16:02
2002,48404,3206,3,,Loyal Sch Dist,David J Miskulin,District Administrator,PO Box 10,Loyal WI 54446-0010,Loyal,WI,54446-0010,D,514 W Central,Loyal WI 54446,Loyal,WI,54446,E3,12,10,10,12675,48748,345,5508250,0,7,LOYAL,Loyal Sch Dist,Loyal,7/2/2002 7:05
2002,48405,3304,3,,Marathon City Sch Dist,Gary Adams,District Administrator,PO Box 37,Marathon WI 54448-0037,Marathon,WI,54448-0037,D,204 East St,Marathon WI 54448,Marathon,WI,54448,E3,12,37,9,12713,48717,350,5508670,8940,8,MARATHON CITY,Marathon City Sch Dist,Marathon City,2/4/2003 10:01
2002,48406,3500,3,,Merrill Area Sch Dist,Frank Harrington,District Administrator,1111 N Sales St,Merrill WI 54452-3198,Merrill,WI,54452-3198,,,,,,,E3,12,35,9,12852,48717,350,5509210,0,6,MERRILL AREA,Merrill Area Sch Dist,Merrill Area,10/23/2001 8:29
2002,48407,3787,3,,Mosinee Sch Dist,William R Shirer,District Administrator,591 West State Highway 153,Mosinee WI 54455-7499,Mosinee,WI,54455-7499,,,,,,,E3,12,37,9,12906,48717,351,5509960,8940,4,MOSINEE,Mosinee Sch Dist,Mosinee,7/2/2002 10:52
2002,48408,3899,3,,Neillsville Sch Dist,John Gaier,District Administrator,614 E 5th St,Neillsville WI 54456-2026,Neillsville,WI,54456-2026,,,,,,,E3,12,10,10,12943,48748,355,5510350,0,6,NEILLSVILLE,Neillsville Sch Dist,Neillsville,7/2/2002 10:56
2002,48409,3906,3,,Nekoosa Sch Dist,David J Scarpino,District Administrator,600 S Section St,Nekoosa WI 54457-1498,Nekoosa,WI,54457-1498,,,,,,,KG,12,71,5,12975,48745,355,5510380,0,6,NEKOOSA,Nekoosa Sch Dist,Nekoosa,10/23/2001 10:11
2002,48410,4207,3,,Owen-Withee Sch Dist,James A Friesen,District Administrator,PO Box 417,Owen WI 54460-0417,Owen,WI,54460-0417,D,832 W 3rd St,Owen WI 54460,Owen,WI,54460,E3,12,10,10,13004,48748,357,5511310,0,7,OWEN-WITHEE,Owen-Withee Sch Dist,Owen-Withee,7/2/2002 11:13
2002,48411,4368,3,,Pittsville Sch Dist,Mary L Peterson,District Administrator,5459 Elementary Ave,Pittsville WI 54466,Pittsville,WI,54466,,,,,,,E3,12,71,5,13029,48745,360,5511790,0,7,PITTSVILLE,Pittsville Sch Dist,Pittsville,7/2/2002 11:20
2002,48412,4508,3,,Port Edwards Sch Dist,Craig Gerlach,District Administrator,801 2nd St,Port Edwards WI 54469-1301,Port Edwards,WI,54469-1301,,,,,,,KG,12,71,5,13065,48745,361,5511970,0,7,PORT EDWARDS,Port Edwards Sch Dist,Port Edwards,10/23/2001 12:59
2002,48413,4963,3,,Rosholt Sch Dist,Kathleen Martinsen,District Administrator,PO Box 310,Rosholt WI 54473-0310,Rosholt,WI,54473-0310,D,346 W Randolph St,Rosholt WI 54473,Rosholt,WI,54473,E3,12,49,5,13101,48745,365,5513140,0,7,ROSHOLT,Rosholt Sch Dist,Rosholt,7/3/2002 11:04
2002,48414,4970,3,,D C Everest Area Sch Dist,Roger W Dodd,District Administrator,6300 Alderson St,Schofield WI 54476-3908,Schofield,WI,54476-3908,,,,,,,E3,12,37,9,13131,48717,365,5513170,8940,4,D C EVEREST AREA,D C Everest Area Sch Dist,D C Everest Area,7/2/2002 11:44
2002,48415,5467,3,,Spencer Sch Dist,Larry Stordahl,District Administrator,300 School St,Spencer WI 54479-9300,Spencer,WI,54479-9300,,,,,,,E4,12,37,10,13159,48748,370,5514190,8940,8,SPENCER,Spencer Sch Dist,Spencer,2/4/2003 10:01
2002,48416,6685,3,,Wisconsin Rapids Sch Dist,Dean L Ryerson,District Administrator,510 Peach St,Wisconsin Rapids WI 54494-4698,Wisconsin Rapids,WI,54494-4698,D,2510 Industrial St,Wis Rapids WI 54495-2292,Wis Rapids,WI,54495-2292,E3,12,71,5,13521,48745,385,5517070,0,6,WISCONSIN RAPIDS,Wisconsin Rapids Sch Dist,Wisconsin Rapids,7/2/2002 13:09
2002,48417,6692,3,,Wittenberg-Birnamwood Sch Dist,David B Bardo,District Administrator,400 W Grand Ave,Wittenberg WI 54499-9276,Wittenberg,WI,54499-9276,,,,,,,E3,12,58,8,13552,48808,386,5517100,0,7,WITTENBERG-BIRNAMWOOD,Wittenberg-Birnamwood Sch Dist,Wittenberg-Birnamwood,7/2/2002 13:09
2002,48418,2618,3,,Hurley Sch Dist,Stu Waller,District Administrator,5503 W Range View Dr,Hurley WI 54534-9000,Hurley,WI,54534-9000,,,,,,,K4,12,26,12,13787,48821,335,5506750,0,7,HURLEY,Hurley Sch Dist,Hurley,7/2/2002 6:38
2002,48419,1848,3,,Lac du Flambeau #1 Sch Dist,Richard Vought,District Administrator,2899 State Highway 47 N,Lac du Flambeau WI 54538-9653,Lac du Flambeau,WI,54538-9653,,,,,,,K4,8,63,9,13807,48717,325,5504620,0,7,LAC DU FLAMBEAU #1,Lac du Flambeau #1 Sch Dist,Lac du Flambeau #1,7/1/2002 15:27
2002,48420,2940,3,,Laona Sch Dist,Storm L Carroll,District Administrator,PO Box 100,Laona WI 54541-0100,Laona,WI,54541-0100,D,5216 Forest Ave,Laona WI 54541,Laona,WI,54541,E4,12,21,8,13831,48808,345,5507830,0,7,LAONA,Laona Sch Dist,Laona,7/2/2002 7:00
2002,48421,616,3,,Boulder Junction J1 Sch Dist,Robert Hanson,District Administrator,12686 County Highway K,Manitowish Waters WI 54545,Manitowish Waters,WI,54545,,,,,,,KG,8,63,9,13848,48717,305,5501530,0,7,BOULDER JUNCTION J1,Boulder Junction J1 Sch Dist,Boulder Junction J1,10/24/2001 11:45
2002,48424,3427,3,,Mellen Sch Dist,Jeffrey Ehrhardt,District Administrator,PO Box 500,Mellen WI 54546-0500,Mellen,WI,54546-0500,D,420 S Main St,Mellen WI 54546,Mellen,WI,54546,E3,12,2,12,13861,48821,350,5508970,0,7,MELLEN,Mellen Sch Dist,Mellen,7/2/2002 7:20
2002,48425,3484,3,,Mercer Sch Dist,Jack English,District Administrator,PO Box 567,Mercer WI 54547-0567,Mercer,WI,54547-0567,D,2680 Margaret St,Mercer WI 54547,Mercer,WI,54547,K4,12,26,12,13883,48821,351,5509150,0,7,MERCER,Mercer Sch Dist,Mercer,7/2/2002 7:24
2002,48426,3640,3,,Minocqua J1 Sch Dist,James D Kranpitz,District Administrator,7450 Titus Dr,Minocqua WI 54548-9139,Minocqua,WI,54548-9139,,,,,,,E3,8,43,9,13905,48717,351,5509690,0,6,MINOCQUA J1,Minocqua J1 Sch Dist,Minocqua J1,7/2/2002 10:27
2002,48427,3647,3,,Lakeland UHS Sch Dist,Michael Dailey,District Administrator,9573 State Hwy 70,Minocqua WI 54548-9000,Minocqua,WI,54548-9000,,,,,,,9,12,43,9,13906,48717,350,5509630,0,6,LAKELAND UHS,Lakeland UHS Sch Dist,Lakeland UHS,2/4/2003 10:01
2002,48428,4242,3,,Park Falls Sch Dist,Charles J Pouba,District Administrator,420 2nd Ave N,Park Falls WI 54552-1323,Park Falls,WI,54552-1323,,,,,,,E3,12,50,12,13935,48821,360,5511430,0,6,PARK FALLS,Park Falls Sch Dist,Park Falls,7/2/2002 11:17
2002,48429,4330,3,,Phelps Sch Dist,Dawn Nordine,District Administrator,4451 Old School Rd,Phelps WI 54554,Phelps,WI,54554,,,,,,,KG,12,63,9,13971,48717,361,5511710,0,7,PHELPS,Phelps Sch Dist,Phelps,10/23/2001 12:38
2002,48430,4347,3,,Phillips Sch Dist,David Hanke,District Administrator,PO Box 70,Phillips WI 54555-0070,Phillips,WI,54555-0070,D,County Highway W,Phillips WI 54555,Phillips,WI,54555,E4,12,50,12,13978,48821,361,5511730,0,7,PHILLIPS,Phillips Sch Dist,Phillips,7/2/2002 11:19
2002,48431,5733,3,,Three Lakes Sch Dist,George J Karling,District Administrator,PO Box 280,Three Lakes WI 54562-0280,Three Lakes,WI,54562-0280,D,6930 W School St,Three Lakes WI 54562,Three Lakes,WI,54562,E3,12,43,9,14042,48717,375,5514850,0,7,THREE LAKES,Three Lakes Sch Dist,Three Lakes,7/2/2002 12:39
2002,48432,5757,3,,Flambeau Sch Dist,William Pfalzgraf,District Administrator,PO Box 86,Tony WI 54563-0086,Tony,WI,54563-0086,D,N4540 County I,Tony WI 54563,Tony,WI,54563,E3,12,54,10,14066,48748,375,5514970,0,7,FLAMBEAU,Flambeau Sch Dist,Flambeau,7/2/2002 12:42
2002,48433,5992,3,,Wabeno Area Sch Dist,Richard H Huisman,District Administrator,PO Box 460,Wabeno WI 54566,Wabeno,WI,54566,D,4346 Mill Ln,Wabeno WI 54566,Wabeno,WI,54566,KG,12,21,8,14088,48808,385,5515390,0,7,WABENO AREA,Wabeno Area Sch Dist,Wabeno Area,11/2/2001 10:15
2002,48434,6720,3,,Woodruff J1 Sch Dist,Susan Treb,District Administrator,11065 Old Highway 51N,Arbor Vitae WI 54568-9721,Arbor Vitae,WI,54568-9721,,,,,,,K4,8,63,9,14105,48717,306,5517160,0,6,WOODRUFF J1,Woodruff J1 Sch Dist,Woodruff J1,7/2/2002 13:11
2002,48435,154,3,,Arcadia Sch Dist,Roger Derrickson,District Administrator,756 Raider Dr,Arcadia WI 54612-9025,Arcadia,WI,54612-9025,,,,,,,E3,12,61,4,14435,48805,301,5500420,0,7,ARCADIA,Arcadia Sch Dist,Arcadia,7/1/2002 11:44
2002,48050,1029,3,,Cedar Grove-Belgium Area Sch D,Michael Salkowski,District Administrator,321 N 2nd St,Cedar Grove WI 53013,Cedar Grove,WI,53013,,,,,,,E3,12,59,7,985,48756,310,5502430,7620,8,CEDAR GROVE-BELGIUM AREA,Cedar Grove-Belgium Area Sch D,Cedar Grove-Belgium Area,2/4/2003 10:01
2002,48051,5278,3,,Sheboygan Falls Sch Dist,C Lee Riter,District Administrator,220 Amherst Ave,Sheboygan Falls WI 53085-1799,Sheboygan Falls,WI,53085-1799,,,,,,,K4,12,59,7,2234,48756,372,5513680,7620,4,SHEBOYGAN FALLS,Sheboygan Falls Sch Dist,Sheboygan Falls,7/2/2002 11:51
2002,48052,5390,3,,Slinger Sch Dist,Joseph A Wikrent,District Administrator,207 Polk St,Slinger WI 53086,Slinger,WI,53086,,,,,,,E3,12,66,6,2263,48790,370,5513950,635080,8,SLINGER,Slinger Sch Dist,Slinger,2/4/2003 10:01
2002,48053,5614,3,,Stockbridge Sch Dist,LeRoy P Kopecky,District Administrator,PO Box 188,Stockbridge WI 53088-0188,Stockbridge,WI,53088-0188,D,110 School St,Stockbridge WI 53088,Stockbridge,WI,53088,K4,12,8,7,2280,48756,370,5514520,460,8,STOCKBRIDGE,Stockbridge Sch Dist,Stockbridge,2/4/2003 10:01
2002,48054,2420,3,,Hamilton Sch Dist,Kathleen M Cooke,District Administrator,W220N6151 Town Line Rd,Sussex WI 53089-3999,Sussex,WI,53089-3999,,,,,,,E3,12,67,1,2300,48797,347,5506030,635080,8,HAMILTON,Hamilton Sch Dist,Hamilton,2/4/2003 10:01
2002,48055,3122,3,,Richmond Sch Dist,Dennis L Kruse,District Administrator,N56W26530 Richmond Rd,Sussex WI 53089-4299,Sussex,WI,53089-4299,,,,,,,E3,8,67,1,2301,48797,345,5508130,635080,8,RICHMOND,Richmond Sch Dist,Richmond,2/4/2003 10:01
2002,48058,3479,3,,Mequon-Thiensville Sch Dist,John M Box,District Administrator,5000 W Mequon Rd,Mequon WI 53092-2044,Mequon,WI,53092-2044,,,,,,,E3,12,45,1,2341,48797,350,5509130,635080,3,MEQUON-THIENSVILLE,Mequon-Thiensville Sch Dist,Mequon-Thiensville,7/2/2002 7:23
2002,48059,6125,3,,Watertown Sch Dist,Suzanne S Hotter,District Administrator,111 Dodge St,Watertown WI 53094-4470,Watertown,WI,53094-4470,,,,,,,E3,12,28,2,2410,48840,386,5515750,0,6,WATERTOWN,Watertown Sch Dist,Watertown,7/2/2002 12:51
2002,48060,6307,3,,West Bend Sch Dist,Michael Wiziarde,District Administrator,PO Box 2000,West Bend WI 53095-7900,West Bend,WI,53095-7900,D,735 S Main,West Bend WI 53095-3999,West Bend,WI,53095-3999,C1,12,66,6,2479,48790,385,5516290,635080,3,WEST BEND,West Bend Sch Dist,West Bend,10/25/2001 7:22
2002,48061,4627,3,,Randall J1 Sch Dist,Yvonne Lemmerhirt,District Administrator,PO Box 38,Bassett WI 53101-0038,Bassett,WI,53101-0038,D,37101 - 87th St,Bassett WI 53101,Bassett,WI,53101,E4,8,30,2,2551,48840,365,5512390,143800,8,RANDALL J1,Randall J1 Sch Dist,Randall J1,2/4/2003 10:01
2002,48062,665,3,,Bristol #1 Sch Dist,Gale Ryczek,District Administrator,20121 83rd St,Bristol WI 53104-9779,Bristol,WI,53104-9779,,,,,,,E3,8,30,2,2572,48840,306,5501710,143800,8,BRISTOL #1,Bristol #1 Sch Dist,Bristol #1,2/4/2003 10:01
2002,48063,777,3,,Burlington Area Sch Dist,Ronald M Jandura,District Administrator,100 N Kane St,Burlington WI 53105-1896,Burlington,WI,53105-1896,,,,,,,E5,12,51,2,2602,48840,305,5501890,636600,3,BURLINGTON AREA,Burlington Area Sch Dist,Burlington Area,7/1/2002 13:55
2002,48064,6412,3,,Wheatland J1 Sch Dist,Paul Zavada,District Administrator,6606 368th Ave,Burlington WI 53105-8583,Burlington,WI,53105-8583,,,,,,,KG,8,30,2,2603,48840,385,5516560,143800,8,WHEATLAND J1,Wheatland J1 Sch Dist,Wheatland J1,2/4/2003 10:01
2002,48065,1253,3,,Cudahy Sch Dist,Nancy Gurrie,District Administrator,2915 E Ramsey Ave,Cudahy WI 53110-2559,Cudahy,WI,53110-2559,,,,,,,E3,12,40,1,2684,48797,310,5503060,635080,3,CUDAHY,Cudahy Sch Dist,Cudahy,7/1/2002 14:23
2002,48066,1380,3,,Delavan-Darien Sch Dist,James Sorensen,District Administrator,324 Beloit St,Delavan WI 53115-1606,Delavan,WI,53115-1606,,,,,,,K4,12,64,2,2730,48840,316,5503640,0,6,DELAVAN-DARIEN,Delavan-Darien Sch Dist,Delavan-Darien,7/1/2002 14:27
2002,48067,1540,3,,East Troy Community Sch Dist,Robert Spence,District Administrator,PO Box 915,East Troy WI 53120-0915,East Troy,WI,53120-0915,D,2043 Division St,East Troy WI 53120-1238,East Troy,WI,53120-1238,KG,12,64,2,2795,48840,320,5504020,0,6,EAST TROY COMMUNITY,East Troy Community Sch Dist,East Troy Community,10/24/2001 10:52
