distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race  ID,Area ID,districtwide,notes
714,2008,1,21,Bill,Aslin,3732,0,0,0,0,10a,17,0,
714,2008,1,11,Tom ,Gehl,8934,1,1,1,0,10c,18,0,
714,2008,1,22,Brooks,Fleming,4138,0,0,0,0,10,19,1,
714,2008,1,23,David,Marcello,5617,1,0,0,0,10,19,1,
714,2008,1,NA,Scatter,,235,0,0,0,1,10,19,1,
714,2009,2,24,Charles,Wickens,839,1,0,0,0,11,19,1,
714,2009,2,1,Meg,Wartman,1645,1,1,1,0,11,19,1,
714,2009,2,25,Katie,Lemcke,552,0,0,0,0,11,19,1,
714,2009,2,26,Barry,Wightman,562,0,0,0,0,11d,20,0,
714,2009,2,27,Donald,Moore,827,1,0,0,0,11d,20,0,
714,2009,2,28,Jean,Lambert,1450,1,0,0,0,11d,20,0,
714,2009,2,NA,Scatter,,46,0,0,0,1,11,21,1,
714,2009,1,27,Donald,Moore,2525,0,0,0,0,12d,22,0,
714,2009,1,28,Jean,Lambert,3587,1,0,0,0,12d,22,0,
714,2009,1,1,Meg,Wartman,4367,1,1,1,0,12,23,1,
714,2009,1,24,Charles,Wickens,2251,0,0,0,0,12,23,1,
714,2009,1,NA,Scatter,,50,0,0,0,1,12,23,1,
714,2010,2,29,Beth,Horneffer,1578,1,0,0,0,13,24,1,
714,2010,2,30,Warren,Groff,849,0,0,0,0,13,24,1,
714,2010,2,31,Sandra,Schultz,1207,1,0,0,0,13,24,1,
714,2010,2,9,Robert,Ziegler,2364,1,1,1,0,13,24,1,
714,2010,2,32,Genevieve,Schmidt,774,0,0,0,0,13,24,1,
714,2010,2,33,Kathyrn,Wilson,1629,1,0,0,0,13,24,1,
714,2010,2,NA,Scatter,,60,0,0,0,1,13,24,1,
714,2010,1,18,Glen,Allgaier,5605,1,1,1,0,14b,25,0,
714,2010,1,34,Ilse,Frayer,2276,0,0,0,0,14b,25,0,
714,2010,1,29,Beth,Horneffer,3148,0,0,0,0,14,26,1,
714,2010,1,31,Sandra,Schultz,2588,0,0,0,0,14,26,1,
714,2010,1,9,Robert,Ziegler,4995,1,1,1,0,14,26,1,
714,2010,1,33,Kathyrn,Wilson,3405,1,0,0,0,14,26,1,
714,2010,1,NA,Scatter,,85,0,0,0,1,14,26,1,
714,2011,1,35,Ken,Moe,5940,0,0,0,0,15a,27,0,
714,2011,1,36,Richard,Brunner,6264,1,0,0,0,15a,27,0,
714,2011,1,11,Tom ,Gehl,10855,1,1,1,0,15c,28,0,
714,2011,1,33,Kathyrn,Wilson,6814,1,1,1,0,15,29,1,
714,2011,1,31,Sandra,Schultz,5609,0,0,0,0,15,29,1,
714,2011,1,37,Nancy,Kormanik,521,0,0,0,0,15,29,1,
714,2011,1,NA,Scatter,,328,0,0,0,1,15,29,1,
714,2012,1,28,Jean,Lambert,6065,1,1,1,0,16d,30,0,
714,2012,1,38,Paul,Byrne,5166,0,0,0,0,16d,30,0,
714,2012,1,1,Meg,Wartman,7350,1,1,1,0,16,31,1,
714,2012,1,39,Lynne,Thomas,3982,0,0,0,0,16,31,1,
714,2012,1,NA,Scatter,,100,0,0,0,1,16,31,1,
